Word,Frequency
pojedzie,1
zdjęła,1
stanąwszy,1
strach,4
straci,2
cenę,1
potrzebuję,1
naukom,1
cegłach,1
cieszmy,1
nadbiegli,2
podniósłszy,3
czubku,1
posunęły,1
pochylonymi,2
grad,3
niechętnie,2
chciałbyś,1
półwoziach,1
modlitwy,5
rzekłszy,2
daremnie,3
ustają,1
jedenasty,1
zdumiony,9
dwieście,2
smutek,3
rożna,1
kokardą,1
spuściła,1
rumieńce,1
chmurą,1
bojem,1
zaszemrali,1
zdobyli,1
porządku,7
dojrzę,1
zdarzył,2
grać,5
zdobył,1
niewysłowionym,1
pocznę,3
zaprzężony,2
obwarzanki,1
spełnienia,2
ściągnięte,1
balkonów,1
odbierały,1
rozstąpili,1
operacją,1
niedzielnej,1
muzykantów,1
julek,12
umarłbym,1
mówiąc,26
usłyszawszy,1
bladego,1
imbrykiem,1
doczekał,1
operację,4
czynną,1
huku,1
posąg,1
chwiało,1
okres,1
doczekam,1
żabotach,1
instrumenty,1
skręcenie,1
fal,1
właścicielowi,1
skończyłem,2
chwiała,1
przeszłego,2
ulbrich,1
wybuchnął,6
czynił,2
szczęka,1
objęcia,5
tłumaczył,1
drogocenne,1
zmieszany,9
zmiłował,2
czworga,1
ciągłych,1
grudzień,1
nalegał,3
plac,7
skonał,2
piątek,16
wznoś,1
piątej,6
odchodzą,1
odstawić,1
wyższym,1
czubek,5
wymówiłyby,1
umiera,3
oświetlonym,1
kłaniali,2
suma,1
nadciągnąć,1
zdawało,29
dziewcząt,4
schodziła,2
pewnym,1
ciska,1
arabii,1
spróbujmy,1
zdawała,4
pochylonych,1
połach,1
nikła,1
zarządzeniach,1
zdawały,2
rogów,1
czynić,6
umieją,6
różny,1
podparł,2
podbiegli,1
podśpiewywać,1
odrzucił,2
pobiegłem,5
różne,7
różni,2
zaciągnął,1
stołów,2
postawiła,1
zabolą,1
sprawiłoby,1
ubliżające,1
powodzeniem,1
wycierpiałam,1
smutne,9
godziną,1
wziął,44
pieszczotą,3
wrzeszcząc,1
stracą,1
podważył,1
smutno,7
godzinę,9
francuskiej,1
posuwać,1
uporczywy,1
moich,14
smutna,6
protekcję,1
awantur,1
julka,3
kołem,1
farbiarzem,1
wysłał,1
panowie,14
wielkości,1
powskakiwali,1
julku,5
milczeniu,17
sumy,1
milczenie,2
karłowate,1
miauczeć,1
milczenia,4
zdobywa,1
przestali,2
pokłońcie,1
najbliższych,1
opowiedziała,1
hura,1
wziąć,4
rozumie,8
oczekiwaniem,1
smutku,5
apteki,1
posuwał,1
koniugacjami,1
uporczywe,1
zgubił,2
smutki,2
biedotę,1
pierś,4
włochom,1
szept,2
jastrzębia,1
badawczym,1
obchodzie,1
genua,1
teatru,6
opowiesz,1
ścieżkach,1
nazwa,1
cierpliwie,2
słodką,1
odpłacił,1
galerii,4
adiutanta,1
żałości,1
starań,1
najmłodsze,1
ramionami,3
teatr,9
pióropuszami,1
galeria,1
starał,1
walczący,1
panie,65
aj,1
ziem,2
genuo,2
zaciśniętą,1
budzony,1
czynie,1
chryste,1
powadze,1
genui,15
kowalczyka,1
teatrzyków,1
bawełny,1
wieczorów,1
gromem,1
bo,206
kilkoma,2
szczęśliwszy,1
poruszyć,1
francuskich,1
pozwalam,1
starać,1
by,55
chłopczyka,3
panem,7
ucieszył,1
ukochanej,1
popędzi,1
ci,154
co,389
nazwy,6
wyróżniać,1
zachorował,2
da,9
obecnym,1
jaszczach,1
de,2
wyżyny,1
przemówił,8
starcy,1
mająca,1
zarabiał,1
dziennik,3
niesione,1
do,930
zabrałoby,1
ford,1
każdą,8
przebywał,1
dziennie,4
podawać,1
mniejszego,2
ubytku,1
przykrywa,1
stardi,29
mające,3
instytucie,2
eh,6
oberżysta,1
posłyszał,5
przeraźliwie,4
ej,1
archini,1
wyjściu,18
pozwalał,1
czynem,2
podawał,4
mający,2
płaszczyk,2
piece,1
wyjście,2
chłopczyna,34
drzwiom,5
starej,3
przemówić,12
instytucji,1
zaziębił,1
odsyła,1
wyjścia,8
niechętnym,1
dolinie,2
regimencie,1
chłopczyny,4
florentczyk,4
umierałem,1
złowrogo,1
chłopczyno,2
ukochanie,1
mamusia,1
wstępie,1
twarzach,2
zgubiła,1
nazwę,1
porcje,1
przynieść,2
pozbawioną,1
wdzierały,1
ułomnych,1
obniżać,1
go,442
aksamitach,1
nazwą,1
szczypali,1
nawoływania,1
przebrany,1
koniecznych,1
godniejszego,1
płonęło,1
półlirówek,1
kalekie,1
starca,4
he,1
szczerze,3
wydrukowane,1
uprzejmie,1
ustach,8
otwarła,3
przecudny,1
zmarłej,2
ho,4
chmury,5
pensję,1
wysokich,3
dreszcz,4
widowisko,3
wydrukowana,1
spalonych,1
dodane,1
rozpytują,1
oddaliła,3
wydrukowany,1
adelaida,1
wrócimy,1
piszesz,1
otwarły,1
przyczynienia,1
chęci,3
zbierać,1
łączyli,1
ii,2
pozwól,2
arytmetykę,1
im,51
niesioną,1
bibliotekarz,1
uwijać,2
ścianach,4
podtrzymywany,1
zajmował,1
pozbawiona,1
zaprowadzili,1
zostawiłeś,1
ja,206
zima,1
aż,98
je,73
alejach,1
wadze,1
oswobodzenie,1
niepewny,2
panią,3
zamyślonymi,1
pokoju,13
galerię,1
panna,11
wysokiej,1
flecistek,1
uwalnia,1
szanuj,4
obiedzie,1
garoffim,1
okolumnę,1
skłonności,1
podtrzymywana,1
dospanych,1
oficera,1
rozmyślając,2
chmura,1
panom,2
zabrząkał,1
petardę,1
grze,1
zbliżać,2
ku,54
dodaje,1
świąt,1
powyciągałem,1
fajeczkę,1
panny,4
zatem,2
pamiętajcież,2
bijące,1
trącając,1
łona,2
najwyższej,1
la,1
widowiska,1
prędzej,9
którymś,1
grzmot,1
pojmuje,3
zimę,4
przezwali,1
julieto,1
przebiegającego,1
wyciągając,8
zaparty,1
widełki,1
pogadać,1
rękach,14
consolata,2
arytmetyki,5
wznak,2
ma,148
wiszących,1
julieta,3
umówiliśmy,1
mi,248
tych,126
przemówiła,4
nawykłej,1
zimą,1
parostatek,2
wstępne,1
trzeciego,3
zachowywać,1
zbliżał,1
wypluł,1
mu,392
pięści,3
boncom,1
ludowych,1
my,37
zmiatając,1
tygrysów,1
na,1361
polepszeń,1
zaczniecie,1
bóg,14
bój,9
najmłodszą,1
ból,3
ni,7
starczy,1
połączył,1
no,41
nr,6
dotknięciem,1
znaleźć,5
krzyknął,41
rozpocząć,1
cieśninę,1
życzył,1
od,281
rozpoczęte,1
przeciwległej,2
oh,2
ją,133
odstało,1
oj,6
on,156
obchodzić,2
pędzi,1
kapelusze,4
ot,3
wzgórzach,1
merelli,4
nobis,20
zachowywał,1
arytmetyka,2
wilgotne,2
pobladł,3
kapelusza,6
doniczki,1
rozczerwienił,1
kapeluszu,2
kapeluszy,1
grożące,1
pochwalił,1
połączyć,1
wypluć,1
po,394
zostawiłem,1
egzaminów,3
dajemy,1
żałoba,1
rozpoczął,2
którymi,16
oczyna,1
patrzałem,1
zaszła,1
przyjścia,1
oddychać,2
wieniec,3
zaciekawieniem,1
przytulił,6
hałaśliwej,1
przybyła,1
niestworzone,1
zdarzeniu,1
zastanowić,1
zakałę,1
humorze,8
półmroku,1
poruszeń,1
iż,4
słup,3
belki,3
oglądali,1
przyszłego,1
potrafiłbyś,1
zdarzenia,2
oklaskiem,2
słuszność,3
sztandarami,1
rozpędzonych,1
pojmuję,1
starcem,1
przybyło,1
wyrazów,2
zasłaniał,1
oddychał,3
przybyły,1
rozłożyliśmy,1
rzadko,5
chodź,2
pędem,2
drukować,1
roztocze,1
stardiego,8
zacierają,1
rzadka,1
ta,49
czerwonych,4
powiązane,1
zwróciła,2
te,108
oglądano,1
józef,4
gwałtownych,1
zwróciły,1
to,835
dałem,5
powziąć,1
tu,123
ty,83
czesze,1
tyle,46
saladilli,1
nadzieją,7
wałęsania,1
szalonym,1
przyjęcie,1
starajmy,1
kwaśno,1
pytam,1
wyciągnęła,3
nadzieję,3
arytmetyce,3
włoskich,4
gwoździ,2
lokach,1
potoczywszy,1
panteon,1
maleństwo,3
wesprzeć,1
poszedł,13
grubą,1
poruszał,2
płaczące,2
wymawiając,1
psocić,1
wiernego,1
powiewającymi,1
heroizmu,1
odwróciłem,2
zasmucił,2
trwożliwa,1
szklankami,2
dopieroż,1
snach,1
służyła,2
wylądował,1
wrócili,1
strychowego,1
niegodziwca,1
sylabizując,1
zaroiło,1
trzydzieści,9
gad,1
dodają,1
we,43
pewnego,14
tymi,26
dodaję,1
ogrodnik,11
nieprawdaż,13
chmurnym,1
włoskiej,5
rozpoczęli,2
wy,24
omnibusem,2
pochłeptywanie,1
są,54
ciotkę,1
wsadza,1
tylu,10
melancholijną,1
żadnego,11
pogrubiała,1
śmiertelnych,1
pobiegniesz,2
potwornej,1
niewidomych,6
dziennej,1
wszak,7
rządził,1
tą,27
później,17
złośliwie,1
żyda,1
wydłużyła,2
wzrostem,1
wyobraź,2
publiczności,3
rozczerwienioną,1
gruby,10
smagana,1
tęskno,1
czerwonymi,2
tę,70
za,312
ogarnion,1
okrutny,1
ukazał,9
milkły,1
możność,1
powie,10
ze,238
zgryzł,1
zapadając,1
porcję,1
staraj,1
kalabryjczyka,6
bramie,4
czwórkę,1
wstrętnego,1
przykryta,1
gdy,78
zadrżeli,1
belce,2
przykryte,1
czereda,1
rwali,1
prętów,1
przytulii,1
wydziera,1
pieszczotliwe,1
grube,4
ojca,89
oczki,1
okrutna,2
genuę,1
ramionach,3
których,46
przykryty,2
żałobę,1
mańkutem,1
gałęzie,1
poruszać,2
powiewających,1
twórca,1
zawiesił,1
iskry,1
belek,2
bramka,1
kupcem,1
słodko,1
zachmurza,1
kupienie,1
kochania,1
wariaty,1
pacierze,1
słodki,2
trójkolorowym,1
pacierza,1
wybornie,6
wyrzekł,4
iskra,1
robienia,1
nietęgą,1
pocisku,1
wydawali,1
przepisałam,1
kochanie,2
systematycznie,1
ochotnicy,1
dotrzeć,1
onieśmieleni,1
żartując,4
jużci,1
kochaniu,1
fotelach,2
pytań,3
ucałowawszy,1
czworakach,1
żyłach,4
pytał,2
słodka,2
zachorować,1
błogosławiąca,1
oszczędzają,1
wężyczki,1
ojcu,31
mrowiskom,1
defilowali,2
wdzięcznie,1
nieprawdopodobne,1
starcia,1
dziesiętnego,1
bądźcie,5
osobliwymi,1
omnibus,1
nadzieja,6
ośnieżonymi,1
udzielała,1
mieczem,1
naśladował,1
wypuścił,2
twarzami,3
powiodła,1
spacerach,1
zjeść,1
bąk,2
poróżni,1
nadzieje,1
lokami,1
każdy,25
oczyma,35
